address,zip code,INCENTIVE AMOUNT,grant,company
3256-3258 N SHEFFIELD AVE 1,60657,"7,375.69",7375.685686,"SHEFFIELD'S BEER & WINE GARDEN, INC."
3256-3258 N SHEFFIELD AVE 1,60657,"7,374",7373.737635,"SHEFFIELD'S BEER & WINE GARDEN, INC."
3256-3258 N SHEFFIELD AVE 1,60657,"7,371.79",7371.789585,"SHEFFIELD'S BEER & WINE GARDEN, INC."
3445 N HALSTED ST,60657,"7,369.84",7369.841534,ARCO DE CUCHILLEROS INC
3445 N HALSTED ST,60657,"7,368",7367.893484,ARCO DE CUCHILLEROS INC
4444 W CHICAGO AVE 2ND UNIT A,60651,"7,366",7365.945434,DISCOUNT PRINTERS LLC
3445 N HALSTED ST,60657,"7,364.00",7363.997383,ARCO DE CUCHILLEROS INC
4807-4819 N BROADWAY   1,60640,"7,362.05",7362.049333,THE GOODYEAR TIRE & RUBBER COMPANY
424 W DIVISION ST 1,60610,"7,360.10",7360.101282,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
370 N DESPLAINES ST,60661,"7,358",7358.153232,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
2653 N CLARK ST,60614,"7,356",7356.205181,THE NHP FOUNDATION
4355 N SHERIDAN RD 1,60613,"7,354.26",7354.257131,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
5516 N CLARK ST 1,60640,"7,352.31",7352.30908,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
5233 N LINCOLN AVE 1,60625,"7,350",7350.36103,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
4660 W IRVING PARK RD,60641,"7,348",7348.412979,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
5343 N BROADWAY  1,60640,"7,346",7346.464929,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
1224 S WABASH AVE,60605,"7,344.52",7344.516878,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
6014 S COTTAGE GROVE AVE,60637,7342.568828,7342.568828,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
6430 W IRVING PARK RD 1ST,60634,"7,341",7340.620777,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
2940 N ASHLAND AVE,60657,"7,339",7338.672727,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
102 W DIVISION ST 1,60610,"7,337",7336.724676,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
1340 S CANAL ST 1,60607,"7,334.78",7334.776626,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
410 N MICHIGAN AVE 1,60611,"7,333",7332.828575,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
1027 W ADDISON ST  A201,60613,"7,330.88",7330.880525,"LUCKY STRIKE ADDISON CLARK, LLC"
3570 N ELSTON AVE 1ST,60618,"7,328.93",7328.932474,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
1341 N PAULINA ST,60622,"7,327",7326.984424,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
5630 W BELMONT AVE,60634,"7,325.04",7325.036373,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
3400 N WESTERN AVE 1,60618,"7,323",7323.088323,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
1763 W HOWARD ST 1,60626,"7,321",7321.140272,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
4042 W FOSTER AVE 1ST,60630,"7,319",7319.192222,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
151 N STATE ST 1,60601,"7,317",7317.244171,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
3630 N SOUTHPORT AVE 1,60613,"7,315",7315.296121,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
550 N STATE ST,60610,"7,313",7313.34807,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
225 E CHICAGO AVE 1,60611,"7,311.40",7311.40002,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
3531 N BROADWAY,60657,"7,309.45",7309.451969,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
2550 N CLYBOURN AVE 1,60614,"7,307.50",7307.503919,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION
13540 S BRANDON AVE  1,60633,"7,305.56",7305.555868,ANGELO DOUGLAS
3133 N HALSTED ST,60657,"7,303.61",7303.607818,"FOX BEVERAGES, INC."
7111-7113 N CLARK ST 1ST,60626,"7,301.66",7301.659767,AUTO TECX 2 INC.
901 N LARRABEE ST 1,60610,"7,300",7299.711717,NORTH LARRABEE FOOD CORP. DBA THE GODDESS RIVER NORTH
4208 N MILWAUKEE AVE 1ST,60641,"7,298",7297.763666,SABOR A GLORIA CORPORATION
901 N LARRABEE ST 1,60610,"7,296",7295.815616,NORTH LARRABEE FOOD CORP. DBA THE GODDESS RIVER NORTH
1229 N NORTH BRANCH ST 1 103,60642,"7,294",7293.867566,DRINKS ON ME LLC
135 N KEDZIE AVE,60612,"7,292",7291.919515,TASTY CHICAGO LLC
3002 W 59TH ST 1 A,60629,"7,290",7289.971465,POWER WINDOW CLEANING AND PRESSURE WASH CORPORATION
901 W JACKSON BLVD,60607,"7,288.02",7288.023414,GOODVETS SERVICES OF WEST LOOP LLC
365 N HALSTED ST 14TH 1406,60661,"7,286.08",7286.075364,TIP 32 MILD AND BARBECUE SAUCE LLC
571 W KINZIE ST 1ST,60654,"7,284.13",7284.127313,KINZIE LACQUER SPA LLC
55 W MONROE ST  SUITE 1655,60603,"7,282.18",7282.179263,"CARMINATI CONSULTING, INC."
5600-5616 S WESTERN AVE 1ST,60636,"7,280.23",7280.231212,"5616 FUEL, INC."
2320 W DEVON AVE,60659,"7,278",7278.283162,VISAGE BOUTIQUE INC.
5600-5616 S WESTERN AVE 1ST,60636,"7,276.34",7276.335111,"5616 FUEL, INC."
571 W KINZIE ST 1ST,60654,"7,274.39",7274.387061,KINZIE LACQUER SPA LLC
1836 S BLUE ISLAND AVE,60608,"7,272.44",7272.43901,MARIA CHAPA
2316 W DEVON AVE,60659,"7,270.49",7270.49096,VISAGE BOUTIQUE INC.
2942-2944 N LINCOLN AVE,60657,"7,268.54",7268.542909,"2942 N LINCOLN RESTAURANT, LLC"
6401 W ADDISON ST 1,60634,"7,266.59",7266.594859,BIA'S CAFE II LLC
5809 N LINCOLN AVE 1ST,60659,"7,265",7264.646808,5809 INC.
2942-2944 N LINCOLN AVE,60657,"7,263",7262.698758,"2942 N LINCOLN RESTAURANT, LLC"
2942-2944 N LINCOLN AVE,60657,"7,261",7260.750707,"2942 N LINCOLN RESTAURANT, LLC"
1855 S BLUE ISLAND AVE 1ST,60608,"7,258.80",7258.802657,"LA MICHOACANA DEL PANDA, INC."
3210 N LINCOLN AVE 1,60657,"7,257",7256.854606,"VANDERSCHAAF ENTERPRISES, INC."
35 E WACKER DR 1,60601,"7,255",7254.906556,Rossi Holdings Inc
3400-3402 N ASHLAND AVE 1,60657,"7,252.96",7252.958505,"CAFE EL TAPATIO, INC."
3400-3402 N ASHLAND AVE 1,60657,"7,251",7251.010455,"CAFE EL TAPATIO, INC."
6334 S NORMAL BLVD 1ST,60621,"7,249",7249.062404,LEE TAYLOR PROFESSIONAL CONSULTING GROUP INC.
3511 N CLARK ST,60657,"7,247",7247.114354,TWELVE PINS (CHICAGO) INC.
3511 N CLARK ST,60657,"7,245",7245.166303,TWELVE PINS (CHICAGO) INC.
6820 W ARCHER AVE GROUND,60638,"7,243",7243.218253,"GARFIELD RIDGE SALON & SPA, LTD."
3511 N CLARK ST,60657,"7,241",7241.270202,TWELVE PINS (CHICAGO) INC.
2801 N SHEFFIELD AVE 1 1,60657,"7,239",7239.322152,IN OK SUK & KYUNG SUK
3216 N SHEFFIELD AVE 1,60657,"7,237",7237.374101,"BLUE IRIS CAFE, INC."
3216 N SHEFFIELD AVE 1,60657,"7,235.43",7235.426051,"BLUE IRIS CAFE, INC."
3216 N SHEFFIELD AVE 1,60657,"7,233",7233.478,"BLUE IRIS CAFE, INC."
3216 N SHEFFIELD AVE 1,60657,"7,232",7231.52995,"BLUE IRIS CAFE, INC."
1300 N ASHLAND AVE N/A J,60622,"7,230",7229.581899,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
4140 S PULASKI RD,60632,"7,227.63",7227.633849,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
3015 N CLARK ST,60657,"7,225.69",7225.685798,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
2754 N CLYBOURN AVE,60614,"7,224",7223.737748,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
1000 W NORTH AVE 1ST,60642,"7,221.79",7221.789697,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
430 N MICHIGAN AVE 1ST,60611,"7,220",7219.841647,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
16 S HALSTED ST FIRST FLOOR,60661,"7,218",7217.893597,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
3450 N LINCOLN AVE  1ST,60657,"7,216",7215.945546,GONZALEZ FAMILY CORPORATION
"3552 N SOUTHPORT AVE 1, 2",60657,"7,214",7213.997496,"SOUTHPORT GROCERY AND CAFE, INC."
"3552 N SOUTHPORT AVE 1, 2",60657,"7,212",7212.049445,"SOUTHPORT GROCERY AND CAFE, INC."
3450 N LINCOLN AVE  1ST,60657,"7,210.10",7210.101395,GONZALEZ FAMILY CORPORATION
833 N WESTERN AVE 1ST,60622,"7,208",7208.153344,"ART PM, INC."
7730 S YATES BLVD 1ST,60649,"7,206.21",7206.205294,PATRICK TAYLOR
2506 1/2 N CLARK ST 1,60614,"7,204",7204.257243,CMC SERVICE OF CHICAGO LIMITED LIABILITY COMPANY
1 N WACKER DR 24 2405,60606,"7,202",7202.309193,Spectrum Communications & Consulting Inc.
1235 N CLYBOURN AVE 1ST,60610,"7,200.36",7200.361142,CMC SERVICE OF CHICAGO LIMITED LIABILITY COMPANY
3165 N BROADWAY  1ST,60657,"7,198",7198.413092,CMC SERVICE OF CHICAGO LIMITED LIABILITY COMPANY
3542 W PETERSON AVE 1ST,60659,"7,196.47",7196.465041,AGUDATH ISRAEL OF ILLINOIS
10 W OHIO ST 1ST,60654,"7,195",7194.516991,CMC SERVICE OF CHICAGO LIMITED LIABILITY COMPANY
2617 W 79TH ST 1ST,60652,"7,193",7192.56894,GENEVA T GIPSON
3319 W BRYN MAWR AVE 1ST,60659,"7,190.62",7190.62089,"DAVIS IMPERIAL CLEANERS, INC."
1027 W ADDISON ST  A-110,60613,"7,189",7188.672839,FOX GLENVIEW LLC
5122 W BELMONT AVE 1ST,60641,"7,186.72",7186.724789,ELVIS MATINEZ-AVILA
4703-4713 N BROADWAY  LL+1,60640,"7,184.78",7184.776738,"UBBAR, LLC"
3130 N BROADWAY  1,60657,"7,182.83",7182.828688,"MUNSTER TAVERNS, INC."
2355 N LINCOLN AVE,60614,"7,180.88",7180.880637,"EQUINOX LINCOLN AVENUE, INC."
3130 N BROADWAY  1,60657,"7,178.93",7178.932587,"MUNSTER TAVERNS, INC."
4703-4713 N BROADWAY  LL+1,60640,"7,177",7176.984536,"UBBAR, LLC"
1615 W HOWARD ST 1ST,60626,"7,175.04",7175.036486,"WILD CHI, INC."
3009 N HALSTED ST 1 1,60657,"7,173.09",7173.088435,"CARBON HAIR, LLC"
3561 N BROADWAY  1ST,60657,"7,171",7171.140385,LENTINI CORPORATION
2419 W 103RD ST,60655,"7,169.19",7169.192334,TEAIRRA HILL
1539 W 47TH ST 1ST,60609,"7,167",7167.244284,MARCIAL ROSAS
2130 N DAMEN AVE 1,60647,"7,165",7165.296233,"I.D., INC."
3561 N BROADWAY  1ST,60657,"7,163",7163.348183,LENTINI CORPORATION
2130 W DIVISION ST 1ST,60622,"7,161",7161.400132,"TOMORROW'S LEADERS, INC."
3439 N HALSTED ST,60657,"7,159",7159.452082,BUCKS SALOON INC
149 N WESTERN AVE,60612,"7,157.50",7157.504031,Western & Lake Check Cashers LLC
230 S CLARK ST  109,60604,"7,155.56",7155.555981,SPAC Wire LLC
156 N JEFFERSON ST 3 300,60661,"7,154",7153.60793,"PROMUS HOLDINGS, LLC"
1050 S LA SALLE ST  1050,60603,"7,151.66",7151.65988,"CABRERA CAPITAL PARTNERS, LLC"
540 W MADISON ST  1800,60661,"7,149.71",7149.711829,"Alvarez & Marsal Valuation Services, LLC"
111 S WACKER DR 46TH 4600,60606,"7,148",7147.763779,HARRIS ASSOCIATES L.P.
1141 W BELMONT AVE  1,60657,"7,145.82",7145.815728,DIANA KYUNG HONG
6328 N CALIFORNIA AVE  1,60659,"7,144",7143.867678,INDO AMERICAN CENTER
4326 S PULASKI RD,60632,"7,142",7141.919628,ANGELICA GARCILAZO
3126 N LINCOLN AVE 1ST,60657,"7,139.97",7139.971577,D S A FINANCE CORPORATION
2914 N ASHLAND AVE,60657,"7,138.02",7138.023527,"IMOLA, LLC"
2914 N ASHLAND AVE,60657,"7,136",7136.075476,"IMOLA, LLC"
1907 W 87TH ST,60620,"7,134",7134.127426,EASY LIVING JUICE BAR LLC
2714 W PETERSON AVE 1ST,60659,"7,132",7132.179375,LIFE PLUS HEALTH CARE INC
2923 N BROADWAY  1ST,60657,"7,130.23",7130.231325,ROYAL HOME ENTERTAINMENT
3501 N LINCOLN AVE,60657,"7,128",7128.283274,"PAULINA MARKET, INC."
2251 W DEVON AVE,60659,"7,126",7126.335224,CARY'S LOUNGE INCORPORATED
1148 W BELMONT AVE GROUND,60657,"7,124",7124.387173,KEN LIEBERMAN
3409 N SOUTHPORT AVE 1ST,60657,"7,122.44",7122.439123,JAY MAHARAJ FOOD CORPORATION
708 N DEARBORN ST BSMT LL,60654,"7,120.49",7120.491072,"MY MASSAGE SPA, LLC"
3409 N SOUTHPORT AVE 1ST,60657,"7,119",7118.543022,JAY MAHARAJ FOOD CORPORATION
3133 N HALSTED ST,60657,"7,116.59",7116.594971,"FOX BEVERAGES, INC."
6337 N CLARK ST,60660,"7,114.65",7114.646921,EBENEZER FAMILY BEAUTY SALON INC.
10359 S WALLACE ST,60628,"7,113",7112.69887,ARLENA K. SIMMONS
2302 S BLUE ISLAND AVE 1,60608,"7,111",7110.75082,MOLE VILLAGE RESTAURANT INC.
1379 N MILWAUKEE AVE 1ST,60622,"7,109",7108.802769,RECKLESS RECORDS OF LONDON (INCORPORATED)
929 W BELMONT AVE,60657,"7,106.85",7106.854719,RECKLESS RECORDS OF LONDON (INCORPORATED)
2708 W PETERSON AVE 1ST,60659,"7,105",7104.906668,"LITTLE HARVARD ACADEMY, INC."
26 E MADISON ST STOREFRONT 1,60602,"7,102.96",7102.958618,RECKLESS RECORDS OF LONDON (INCORPORATED)
1632 W BELMONT AVE 1,60657,"7,101",7101.010567,Fusion Hair Studio Ltd.
4401 S LOWE AVE,60609,"7,099",7099.062517,MICHAEL MOODY
2739 W LAWRENCE AVE 1ST,60625,"7,097",7097.114466,"LEE CONCESSIONS, CORP."
3055 W DEVON AVE 1ST,60659,"7,095",7095.166416,NOAH ZAHAVA ZAFRIR
1365-1367 W ERIE ST,60642,"7,093",7093.218365,ROSSIDOC LLC
5875 N LINCOLN AVE 1 127,60659,"7,091",7091.270315,ALDRIN R. MAYEN
401 N MICHIGAN AVE 28TH 2800,60611,"7,089",7089.322264,PH MEDIA (USA) INC.
3407 N HALSTED ST,60657,"7,087",7087.374214,JULMOR INC
3407 N HALSTED ST,60657,"7,085",7085.426163,JULMOR INC
2265 N LINCOLN AVE 1ST F,60614,"7,083",7083.478113,2265 N LINCOLN CORP
2158 W 23RD ST  1,60608,"7,081.53",7081.530062,SAMUEL MELESIO
2265 N LINCOLN AVE 1ST F,60614,"7,079.58",7079.582012,2265 N LINCOLN CORP
7258 W TOUHY AVE,60631,"7,077.63",7077.633961,SOO CLEANERS ACQUISITION CORPORATION
8501 W HIGGINS RD 7TH 710,60631,"7,076",7075.685911,"ADVANCED BILLING COLLECTION SPECIALISTS, INC."
3019 N BROADWAY,60657,"7,074",7073.73786,MONSIGNOR MURPHY'S INC
3563 N BROADWAY  1ST,60657,"7,072",7071.78981,THE TOY TAP INC
8214 S EXCHANGE AVE,60617,"7,070",7069.841759,"LITTLE LEADERS LEARNING ACADEMY, INC."
3019 N BROADWAY,60657,"7,068",7067.893709,MONSIGNOR MURPHY'S INC
3019 N BROADWAY,60657,"7,065.95",7065.945659,MONSIGNOR MURPHY'S INC
6343 N CALIFORNIA AVE,60659,"7,064",7063.997608,"6343 CALIFORNIA, INC."
3450-3456 W PETERSON AVE 1ST,60659,"7,062",7062.049558,"CARING PROFESSIONALS HOME CARE, INC."
180 N LA SALLE ST 27 37,60601,"7,060.10",7060.101507,FREEDOM TITLE CORPORATION
6343 N CALIFORNIA AVE,60659,"7,058",7058.153457,"6343 CALIFORNIA, INC."
3201-3225 N ASHLAND AVE,60657,"7,056",7056.205406,"SUSHI AVENUE, INCORPORATED"
5155-5159 W ADDISON ST 1ST,60641,"7,054",7054.257356,BONY'S INC.
503 N LA SALLE DR 1,60654,"7,052.31",7052.309305,"AQUA FOOD & LIQUOR, INC."
503 N LA SALLE DR 1,60654,"7,050",7050.361255,"AQUA FOOD & LIQUOR, INC."
3201-3225 N ASHLAND AVE 1-2,60657,"7,048",7048.413204,"WHOLE FOODS MARKET GROUP, INC."
843 W ARMITAGE AVE,60614,"7,046.47",7046.465154,"ALLBIRDS, INC."
1232 W BELMONT AVE 1,60657,"7,044.52",7044.517103,"DOUBLE F F & B, INC."
150 N MICHIGAN AVE  2800,60601,"7,043",7042.569053,THE NHP FOUNDATION
10344 S SEELEY AVE,60643,"7,040.62",7040.621002,"THE ALVERNA GROUP, LLC"
1232 W BELMONT AVE 1,60657,"7,039",7038.672952,"DOUBLE F F & B, INC."
6246 N WESTERN AVE,60659,"7,036.72",7036.724901,"NORTH STAR RESTAURANT, INC."
2534 W PETERSON AVE 1,60659,"7,034.78",7034.776851,TEJASH CORPORATION
3060 N LINCOLN AVE,60657,"7,033",7032.8288,"ENVIRONS DEVELOPMENT,  INC"
6246 N WESTERN AVE,60659,"7,030.88",7030.88075,"NORTH STAR RESTAURANT, INC."
1232 W BELMONT AVE 1,60657,"7,028.93",7028.932699,"DOUBLE F F & B, INC."
10426 S WESTERN AVE 1ST,60643,"7,026.98",7026.984649,HORSE THIEF HOLLOW INC.
6348 N MAPLEWOOD AVE 1ST,60659,"7,025.04",7025.036598,MUGHAL BAKERY CHICAGO INC.
7500 S MICHIGAN AVE,60617,"7,023.09",7023.088548,"SUNBIRD APPLIANCES, LLC"
208 S LA SALLE ST 18TH 1818,60604,"7,021",7021.140497,HALSTED LIMITED PARTNERSHIP
2534 W PETERSON AVE 1,60659,"7,019",7019.192447,TEJASH CORPORATION
10426 S WESTERN AVE 1ST,60643,"7,017.24",7017.244396,HORSE THIEF HOLLOW INC.
1310 E 75TH ST 2 2,60619,"7,015.30",7015.296346,1337 CENTRAL PARK DEVELOPMENT LLC
6055 N LINCOLN AVE 1ST 102-C,60659,"7,013.35",7013.348295,ASSISTED HOMECARE SERVICES CORPORATION
2505 N LINDER AVE 2,60639,"7,011.40",7011.400245,MARIA G CORREA
4016 W MADISON ST 1ST,60624,"7,009.45",7009.452194,DEEJAYS APPAREL INC.
3171 N HALSTED ST # 1ST,60657,"7,008",7007.504144,NEW MODERN GRILL INC.
1507 W 78TH ST 2ND,60620,"7,005.56",7005.556093,DAVID COLLINS
875 N MICHIGAN AVE  3100,60611,"7,004",7003.608043,US Software Professionals Inc.
4412 N MILWAUKEE AVE 1 2,60630,"7,002",7001.659992,"Chicago Sip & Paint, Inc"
1329 W CHICAGO AVE 1,60642,"6,999.71",6999.711942,RICE PAPER & COMPANY LLC
1329 W CHICAGO AVE 1,60642,"6,998",6997.763891,RICE PAPER & COMPANY LLC
"111 W WASHINGTON ST 20, 21, 22 2100",60602,"6,995.82",6995.815841,GRUBHUB HOLDINGS INC.
2150 W DEVON AVE 1 1W,60659,"6,994",6993.867791,MINHAJ AKHTAR
6221 N TROY ST,60659,"6,991.92",6991.91974,RITECH ELECTRONIC SYSTEMS INC
3707 S WINCHESTER AVE 1ST,60609,"6,990",6989.97169,JOSE TRINIDAD CASTELLANOS
3707 S WINCHESTER AVE,60609,"6,988",6988.023639,MARIA M CASTELLANOS
6940 S ASHLAND AVE  E,60636,"6,986.08",6986.075589,"URBAN WIGS, INC."
737 W WRIGHTWOOD AVE 1ST,60614,"6,984",6984.127538,"HUMMINGBIRD STUDIOS, INC."
7116 S YATES BLVD 1ST,60649,"6,982.18",6982.179488,NEW HOAGY HOUSE INC.
3160 N CLARK ST 1ST,60657,"6,980.23",6980.231437,"J. & D. ENTERPRISES OF ILLINOIS, INC."
3160 N CLARK ST 1ST,60657,"6,978.28",6978.283387,"J. & D. ENTERPRISES OF ILLINOIS, INC."
1107 S DELANO CT FIRST FLOOR,60605,"6,976",6976.335336,"ULTA SALON, COSMETICS & FRAGRANCE, INC."
2710 S STATE ST,60616,"6,974",6974.387286,RAMONA LEE
10352 S HALSTED ST,60628,"6,972.44",6972.439235,SHAYNA BARFIELD
107 W NORTH AVE 3 3,60164,"6,970.49",6970.491185,SCOTT L. KRAFFT
3011 N HALSTED ST,60657,"6,969",6968.543134,IN YAE YOON
2449 W DEVON AVE,60659,"6,967",6966.595084,"BABA SHAH MURAD, INC."
528 W BROMPTON AVE 1 - 4,60657,"6,965",6964.647033,"BROMPTON HOTEL INVESTMENTS, LLC"
933 W BELMONT AVE 1 - 4,60657,"6,962.70",6962.698983,"BELMONT HOTEL INVESTMENTS, LLC"
555 W SURF ST 1 - 4,60657,"6,960.75",6960.750932,"SURF HOTEL INVESTMENTS, LLC"
933 W BELMONT AVE 1 - 4,60657,"6,959",6958.802882,"BELMONT HOTEL INVESTMENTS, LLC"
555 W SURF ST 1 - 4,60657,"6,956.85",6956.854831,"SURF HOTEL INVESTMENTS, LLC"
528 W BROMPTON AVE 1 - 4,60657,"6,954.91",6954.906781,"BROMPTON HOTEL INVESTMENTS, LLC"
555 W SURF ST 1 - 4,60657,"6,953",6952.95873,"SURF HOTEL INVESTMENTS, LLC"
528 W BROMPTON AVE 1 - 4,60657,"6,951.01",6951.01068,"BROMPTON HOTEL INVESTMENTS, LLC"
933 W BELMONT AVE 1 - 4,60657,"6,949.06",6949.062629,"BELMONT HOTEL INVESTMENTS, LLC"
2924-2926 N BROADWAY  1ST,60657,"6,947",6947.114579,"CESARS ON BROADWAY RESTAURANT, INC."
3201 N HALSTED ST 1,60657,"6,945.17",6945.166528,"HOT TUNA, INC"
2924-2926 N BROADWAY  1ST,60657,"6,943",6943.218478,"CESARS ON BROADWAY RESTAURANT, INC."
3201 N HALSTED ST 1,60657,"6,941.27",6941.270427,"HOT TUNA, INC"
3201 N HALSTED ST 1,60657,"6,939.32",6939.322377,"HOT TUNA, INC"
218 W CERMAK RD 1ST,60616,"6,937",6937.374326,AHJOOMAH' S APRON CORP.
1418 E 53RD ST  1418H-2,60615,"6,935.43",6935.426276,NOOR RESTAURANTS COMPANY
218 W CERMAK RD 1ST,60616,"6,933.48",6933.478225,AHJOOMAH' S APRON CORP.
1407 W GRAND AVE 1,60642,"6,931.53",6931.530175,BMSK GROUP LLC
9 S CICERO AVE,60644,"6,929.58",6929.582124,"MAHDI COMMUNICATION, INC."
6248 N CALIFORNIA AVE 1,60659,"6,928",6927.634074,KARAOKE RESTAURANT & BAR INC.
1222 W MADISON ST 1 102,60607,"6,925.69",6925.686023,"SIAM ON MADISON, INC."
1222 W MADISON ST 1 102,60607,"6,924",6923.737973,"SIAM ON MADISON, INC."
4100 S ASHLAND AVE,60609,"6,922",6921.789922,Jesus Perdomo
1100 W CERMAK RD  139,60608,"6,919.84",6919.841872,"WAYWARD MACHINE COMPANY, INC."
1435 W 42ND ST 2ND,60609,"6,918",6917.893822,"CAC SEATING, INC."
2928 N LINCOLN AVE,60657,"6,915.95",6915.945771,JAMES E MULROYAN&CHARLES FARLEY
4342 N DRAKE AVE,60618,"6,914.00",6913.997721,ESTEBAN CHAVEZ
3000 N SHERIDAN RD 11 D,60657,"6,912",6912.04967,NAOMI RAE SKAGGS
954 W BELMONT AVE,60657,"6,910",6910.10162,BERLIN CORPORATION
954 W BELMONT AVE,60657,"6,908.15",6908.153569,BERLIN CORPORATION
2407 N MILWAUKEE AVE LAVINIA G. MURESAN C103,60647,"6,906.21",6906.205519,EXPRESS PERMITS INC.
3500 N SOUTHPORT AVE,60657,"6,904.26",6904.257468,ROBERT R FEDRO JR
4849 W IRVING PARK RD 1ST,60641,"6,902",6902.309418,JACK GORE
2629 W DEVON AVE,60659,"6,900",6900.361367,BROTHERS FOOD INC.
1608 W BELMONT AVE  200,60657,"6,898.41",6898.413317,DEBORAH BIJELIC
2734 S WENTWORTH AVE 1ST CU-D,60616,"6,896",6896.465266,"GOLDEN DRAGON CASINO SHUTTLE, INC."
3203 N CLARK ST 1,60657,"6,894.52",6894.517216,"BAMBOO GARDEN, INC."
4326 N CALIFORNIA AVE 1ST,60618,"6,893",6892.569165,"SPARK MONTESSORI, LLC"
400 N CLINTON ST  502,60654,"6,890.62",6890.621115,PHIL PASSEN
5752 N CALIFORNIA AVE # 1ST,60659,"6,888.67",6888.673064,CARMELITA BAGCUS
836 W WELLINGTON AVE # 1,60657,"6,886.73",6886.725014,ADVOCATE NORTH SIDE HEALTH NETWORK
836 W WELLINGTON AVE # 1,60657,"6,884.78",6884.776963,ADVOCATE NORTH SIDE HEALTH NETWORK
836 W WELLINGTON AVE # 1,60657,"6,882.83",6882.828913,ADVOCATE NORTH SIDE HEALTH NETWORK
3010 N LINCOLN AVE,60657,"6,881",6880.880862,"LINCOLN TAP ROOM, INC."
836 W WELLINGTON AVE # 1,60657,"6,878.93",6878.932812,ADVOCATE NORTH SIDE HEALTH NETWORK
1000 N DAMEN AVE 1ST,60622,"6,876.98",6876.984761,DOLLOP BAKE SHOP LLC
6000 N WESTERN AVE,60659,"6,875",6875.036711,JSJK INC
6000 N WESTERN AVE,60659,"6,873",6873.08866,JSJK INC
303 E WACKER DR 4 400,60601,"6,871",6871.14061,Hireology LLC
1601 W SCHOOL ST  302,60657,"6,869",6869.192559,STARK SCOTT STUDIO LLC
3101 N ASHLAND AVE GROUND,60657,"6,867",6867.244509,"SONA ASHLAND TAN, INC."
1132-1138 W GRAND AVE 1,60642,"6,865",6865.296458,PORKCHOP CHICAGO LLC
1125 W 31ST ST 1,60608,"6,863",6863.348408,LITTLE EINSTEINS AFTER-SCHOOL CENTER LLC
355 E OHIO ST 1ST & MEZZANINE,60611,"6,861",6861.400357,"WE MAKE DOUGH, LLC"
7439 S COLES AVE  H,60649,"6,859.45",6859.452307,EDDIE H. MYLES
6001 N WESTERN AVE 1,60659,"6,857.50",6857.504256,MOUNSEF INVESTMENT CORP.
1000 W FULTON MARKET    275,60607,"6,855.56",6855.556206,Kinema Fitness Inc.
110 N CARPENTER ST 9TH,60607,"6,854",6853.608155,Kinema Fitness Inc.
3548 N SOUTHPORT AVE,60657,"6,851.66",6851.660105,"JUST OFF MAPLE, LLC"
150 N MICHIGAN AVE  725,60601,"6,849.71",6849.712054,TRANSPERFECT TRANSLATIONS INTERNATIONAL INC.
3910 W GRAND AVE 1ST,60651,"6,848",6847.764004,"IN SIGHT SIGN COMPANY, INC."
355 E OHIO ST 1ST & MEZZANINE,60611,"6,845.82",6845.815953,"WE MAKE DOUGH, LLC"
4100 S ASHLAND AVE OUTDOOR 1050,60609,"6,843.87",6843.867903,Denise Perez
1801 S WABASH AVE,60616,"6,841.92",6841.919853,JAMES J.JORDAN JR.
401 N MICHIGAN AVE 19 1930,60611,"6,839.97",6839.971802,"F4FINANCIAL, INC."
